,AccX,AccY,AccZ
0,1.5926879882812501,-0.65863037109375,-9.54415283203125
1,3.1039453125,-1.302890625,-9.13699951171875
2,1.6860937500000002,-0.718505859375,-9.244775390625
3,3.31470703125,-1.53999755859375,-10.700947265625
4,2.5171655273437503,-1.6621435546875,-9.0867041015625
5,1.3268408203125002,-0.5245092773437501,-8.61967529296875
6,2.0836669921875,-1.7866845703125,-10.69376220703125
7,0.3065625,-6.485712890625,-11.963122558593751
8,-1.4897021484375002,-4.339775390625,-9.35255126953125
9,1.0106982421875002,-1.5088623046875,-9.28070068359375
10,1.3747412109375001,0.076640625,-8.8903125
11,0.6370751953125,-0.00239501953125,-9.25196044921875
12,1.99265625,-0.6873706054687501,-9.8483203125
13,3.13508056640625,-1.05620361328125,-9.09388916015625
14,3.7817358398437504,-1.6262182617187502,-9.6902490234375
15,2.86204833984375,-0.5652246093750001,-11.16797607421875
16,2.81893798828125,-1.2118798828125001,-9.71419921875
17,1.5064672851562502,0.0622705078125,-9.66390380859375
18,2.6632617187500003,-1.2789404296875,-8.4065185546875
19,-0.85023193359375,-5.1061816406250005,-10.01836669921875
20,-1.07296875,-5.539680175781251,-8.0137353515625
21,1.4992822265625,-4.62478271484375,-8.2340771484375
22,1.65974853515625,-1.5160473632812501,-8.92623779296875
23,1.8776953125,-0.54366943359375,-10.2075732421875
24,2.50758544921875,-1.005908203125,-9.4890673828125
25,2.4836352539062503,-0.76880126953125,-9.50583251953125
26,3.8703515625000002,-1.17595458984375,-9.82676513671875
27,2.4572900390625003,-1.1448193359375,-10.20038818359375
28,3.89190673828125,-1.33881591796875,-10.1692529296875
29,2.86204833984375,-1.3100756835937502,-9.194479980468751
30,2.615361328125,-2.08606201171875,-8.39933349609375
31,2.11959228515625,-1.676513671875,-9.60163330078125
32,-1.7507592773437501,-5.68338134765625,-8.22689208984375
33,-0.3592529296875,-4.2583447265625,-10.126142578125
34,-0.0431103515625,-1.61184814453125,-9.39087158203125
35,2.17228271484375,-0.1772314453125,-10.68418212890625
36,1.79865966796875,-0.6035449218750001,-9.953701171875
37,1.6860937500000002,-0.6849755859375001,-9.19927001953125
38,3.0273046875,-1.1136840820312501,-9.73096435546875
39,4.39965087890625,-1.28133544921875,-9.6040283203125
40,4.15775390625,-1.9351757812500001,-9.4220068359375
41,2.8764184570312503,-0.19639160156250002,-9.18968994140625
42,0.8861572265625001,0.890947265625,-9.290280761718751
43,2.68481689453125,-0.75443115234375,-12.20501953125
44,-0.4646337890625,-4.83075439453125,-9.54415283203125
45,-1.44419677734375,-5.288203125,-9.177714843750001
46,1.41066650390625,-2.41178466796875,-8.6651806640625
47,1.36755615234375,-2.21539306640625,-9.36213134765625
48,1.791474609375,-0.7232958984375001,-9.7668896484375
49,3.3051269531250003,-0.9819580078125001,-9.47230224609375
50,3.45601318359375,-1.159189453125,-8.50950439453125
51,3.1063403320312504,-1.96631103515625,-8.550219726562501
